Folder,EdsFile,CIP Vendor,CIP Product Type,CIP Product Code,Revision,ProdType,ProdTypeStr,DescText,MajRev,MinRev,Catalog
DeviceNet,0001009597090300.eds,0001,149,38665,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-A011...
DeviceNet,0001009597090400.eds,0001,149,38665,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-A011...
DeviceNet,0001009597090500.eds,0001,149,38665,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-A011...
DeviceNet,00010095A7090100.eds,0001,149,42761,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-A011...
DeviceNet,0001007EB2090400.eds,0001,126,45577,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-B2P5...
DeviceNet,0001007EB2090500.eds,0001,126,45577,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-B2P5...
DeviceNet,00010095B2090100.eds,0001,149,45577,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-B2P5...
DeviceNet,00010095B2090200.eds,0001,149,45577,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-B2P5...
DeviceNet,00010095B2090300.eds,0001,149,45577,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-B2P5...
DeviceNet,00010095B2090400.eds,0001,149,45577,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-B2P5...
DeviceNet,00010095B2090500.eds,0001,149,45577,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-B2P5...
DeviceNet,0001007EB4090400.eds,0001,126,46089,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-B5P0...
DeviceNet,0001007EB4090500.eds,0001,126,46089,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-B5P0...
DeviceNet,00010095B4090100.eds,0001,149,46089,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-B5P0...
DeviceNet,00010095B4090200.eds,0001,149,46089,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-B5P0...
DeviceNet,00010095B4090300.eds,0001,149,46089,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-B5P0...
DeviceNet,00010095B4090400.eds,0001,149,46089,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-B5P0...
DeviceNet,00010095B4090500.eds,0001,149,46089,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-B5P0...
DeviceNet,0001007EB6090400.eds,0001,126,46601,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-B8P0...
DeviceNet,0001007EB6090500.eds,0001,126,46601,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-B8P0...
DeviceNet,00010095B6090100.eds,0001,149,46601,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-B8P0...
DeviceNet,00010095B6090200.eds,0001,149,46601,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-B8P0...
DeviceNet,00010095B6090300.eds,0001,149,46601,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-B8P0...
DeviceNet,00010095B6090400.eds,0001,149,46601,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-B8P0...
DeviceNet,00010095B6090500.eds,0001,149,46601,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-B8P0...
DeviceNet,0001007EB7090400.eds,0001,126,46857,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-B011...
DeviceNet,0001007EB7090500.eds,0001,126,46857,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-B011...
DeviceNet,00010095B7090100.eds,0001,149,46857,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-B011...
DeviceNet,00010095B7090200.eds,0001,149,46857,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-B011...
DeviceNet,00010095B7090300.eds,0001,149,46857,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-B011...
DeviceNet,00010095B7090400.eds,0001,149,46857,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-B011...
DeviceNet,00010095B7090500.eds,0001,149,46857,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-B011...
DeviceNet,0001007EB8090400.eds,0001,126,47113,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-B017...
DeviceNet,0001007EB8090500.eds,0001,126,47113,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-B017...
DeviceNet,00010095B8090100.eds,0001,149,47113,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-B017...
DeviceNet,00010095B8090200.eds,0001,149,47113,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-B017...
DeviceNet,00010095B8090300.eds,0001,149,47113,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-B017...
DeviceNet,00010095B8090400.eds,0001,149,47113,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-B017...
DeviceNet,00010095B8090500.eds,0001,149,47113,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-B017...
DeviceNet,0001007EB9090400.eds,0001,126,47369,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-B024...
DeviceNet,0001007EB9090500.eds,0001,126,47369,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-B024...
